Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ,¿Ü±¹ÀÎ,±â°ü°è,±ÝÀ¶ÅõÀÚ,º¸Çè,Åõ½Å,ÀºÇà,±âÅ¸±ÝÀ¶,¿¬±â±Ý,±âÅ¸¹ýÀÎ,±âÅ¸¿ÜÀÎ,»ç¸ðÆÝµå
A068270,¼¿Æ®¸®¿Â,20230118,101256,5645,-104095,-28220,-11258,-28036,0,0,-32323,-3254,448,-4258
A068270,¼¿Æ®¸®¿Â,20230119,-31105,49137,-18186,-7650,499,-1683,41,-500,-8253,-31,185,-640
A068270,¼¿Æ®¸®¿Â,20230120,-6053,58210,-52599,-20634,-5151,-9485,-39,-500,-16311,21,421,-479
A068270,¼¿Æ®¸®¿Â,20230125,-46073,48226,-919,6319,5933,-2690,9,80,-9371,-1314,80,-1199
A068270,¼¿Æ®¸®¿Â,20230126,-10174,58489,-51235,3134,5367,-2609,9,-42,-43717,2810,110,-13377
A068270,¼¿Æ®¸®¿Â,20230127,-46045,12519,32989,32253,10218,891,0,-200,153,467,70,-10326
A068270,¼¿Æ®¸®¿Â,20230130,76483,-31860,-45269,-30291,1595,-10995,0,10,-1030,378,268,-4558
A068270,¼¿Æ®¸®¿Â,20230131,55086,-80209,24827,28999,-618,-11343,0,10,11813,564,-268,-4034
A068270,¼¿Æ®¸®¿Â,20230201,-197325,141483,51714,37321,1532,-9961,388,-33,16571,4146,-18,5896
A068270,¼¿Æ®¸®¿Â,20230202,-1833,11812,-24927,-15287,11288,-1175,0,6,-28066,14104,844,8307
A068270,¼¿Æ®¸®¿Â,20230203,-16533,32416,-51583,-18829,11008,-9568,124,6,-33895,33916,1784,-429
A068270,¼¿Æ®¸®¿Â,20230206,43051,-30849,-33590,-59630,6216,7455,0,0,12349,21485,-97,20
A068270,¼¿Æ®¸®¿Â,20230207,45161,-19701,-51814,-74398,6125,6595,0,-1520,5765,26552,-198,5619
A068270,¼¿Æ®¸®¿Â,20230208,-4689,14058,-18394,-15441,-557,3864,0,-733,-5118,8966,59,-409
A068270,¼¿Æ®¸®¿Â,20230209,10289,20861,-53354,-36775,-3062,3626,0,-733,-20724,22149,55,4314
A068270,¼¿Æ®¸®¿Â,20230210,134663,-31485,-122841,-51450,-1019,-18919,362,0,-41578,20053,-390,-10237
A068270,¼¿Æ®¸®¿Â,20230213,17023,24762,-62846,-23606,-2011,-8569,0,0,-39154,20260,801,10494
