¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A018000,¿Ø¥œΩº,20221004,2389,-3552,1163,1163,0,0,0,0,0,0,0,0
A018000,¿Ø¥œΩº,20221007,-148053,221588,-92830,-36379,0,-56451,0,0,0,19293,2,0
A018000,¿Ø¥œΩº,20221006,-130419,127883,920,920,0,0,0,0,0,1616,0,0
A018000,¿Ø¥œΩº,20221011,12395,-22022,-241,-241,0,0,0,0,0,-647,10515,0
A018000,¿Ø¥œΩº,20221013,170474,-81198,-78706,-24821,0,-53885,0,0,0,0,-10570,0
A018000,¿Ø¥œΩº,20221012,146934,-56762,-80102,-26217,0,-53885,0,0,0,0,-10070,0
A018000,¿Ø¥œΩº,20221014,-55101,55148,-153,-153,0,0,0,0,0,106,0,0
A018000,¿Ø¥œΩº,20221017,-46797,47103,-306,-306,0,0,0,0,0,0,0,0
A018000,¿Ø¥œΩº,20221019,11010,-31171,20401,6401,0,14000,0,0,0,1,-241,0
A018000,¿Ø¥œΩº,20221018,-10944,-53,10738,3738,0,7000,0,0,0,1,258,0
A018000,¿Ø¥œΩº,20221021,16626,-22222,5497,2497,0,3000,0,0,0,99,0,0
A018000,¿Ø¥œΩº,20221020,-29301,23831,5468,2468,0,3000,0,0,0,2,0,0
A018000,¿Ø¥œΩº,20221025,99133,-121836,-5462,538,0,-6000,0,0,0,27799,366,0
A018000,¿Ø¥œΩº,20221024,-92002,89831,141,141,0,0,0,0,0,2030,0,0
A018000,¿Ø¥œΩº,20221027,-54701,52551,2577,2577,0,0,0,0,0,0,-427,0
A018000,¿Ø¥œΩº,20221026,4824,-6258,961,961,0,0,0,0,0,0,473,0
A018000,¿Ø¥œΩº,20221028,-8390,7764,1196,1196,0,0,0,0,0,0,-570,0
A018000,¿Ø¥œΩº,20221031,-5965,2392,3574,3574,0,0,0,0,0,0,-1,0
A018000,¿Ø¥œΩº,20221102,-42018,49741,-7737,-7737,0,0,0,0,0,0,14,0
A018000,¿Ø¥œΩº,20221101,-60844,66254,-5414,-5414,0,0,0,0,0,0,4,0
A018000,¿Ø¥œΩº,20221104,32145,-25472,-13617,-2617,0,-11000,0,0,0,8446,-1502,0
A018000,¿Ø¥œΩº,20221103,-6561,9871,-736,-736,0,0,0,0,0,-1025,-1549,0
