,단어,빈도
1529,이동,37
1530,시가총액,37
1531,주인,37
1532,재정,37
1533,나이,37
1534,지사,37
1535,매체,37
1536,시리즈,37
1537,조선,37
1538,자재,37
1539,107,37
1540,아모레퍼시픽,37
1541,마이크로소프트,37
1542,거리,37
1543,특화,37
1544,배정,37
1545,백,37
1546,137,37
1547,마케팅,37
1548,일자리,37
1549,24만,37
1550,109,37
1551,17일,37
1552,계열,37
1553,로슈,37
1554,혈액,37
1555,방미,37
1556,제안,36
1557,동일,36
1558,료업,36
1559,민간,36
1560,33,36
1561,통화,36
1562,혐의,36
1563,생명과학,36
1564,출연,36
1565,지난주,36
1566,선행,36
1567,일상,36
1568,구매,36
1569,반복,36
1570,단행,36
1571,테크놀로지,36
1572,복귀,36
1573,24일,36
1574,속,36
1575,알리,36
1576,4,36
1577,양호,36
1578,무역,36
1579,193,36
1580,실물,36
1581,여성,36
1582,직전,36
1583,호조,36
1584,양국,36
1585,컨센서스,36
1586,코,36
1587,합작,36
1588,GSK,36
1589,SDS,36
1590,엔지니어링,36
1591,OCI,36
1592,종양,36
1593,전자통신,36
1594,7209억,36
1595,004,35
1596,감축,35
1597,양상,35
1598,각종,35
1599,121,35
1600,22,35
1601,23일,35
1602,정례,35
1603,006,35
1604,지자체,35
1605,법률,35
1606,필라델피아,35
1607,개미,35
1608,베스트,35
1609,재판,35
1610,최선,35
1611,반응,35
1612,안착,35
1613,008,35
1614,21일,35
1615,약속,35
1616,기금,35
1617,고민,35
1618,검찰,35
1619,체,35
1620,2022년,35
1621,140,35
1622,목소리,35
1623,풀,35
1624,100,35
1625,후원,35
1626,141,35
1627,획득,35
1628,부산,35
1629,소녀,35
1630,DS,35
1631,111,34
1632,뉴욕증시,34
1633,28일,34
1634,하임,34
1635,지하,34
1636,책임,34
1637,조치,34
1638,구간,34
1639,099,34
1640,엔터,34
1641,심사,34
1642,27일,34
1643,하나은행,34
1644,디,34
1645,차량,34
1646,제작,34
1647,센,34
1648,16일,34
1649,2020년,34
1650,사상,34
1651,베트남,34
1652,난방,34
1653,연말,34
1654,취지,34
1655,세대,34
